golpear | to hit, strike
izquierda | left
constante | constant
parque | park
introducción | introduction
temporada | season, period, time
denominar | to call, name
dispuesto | willing, ready
huir | to flee, run away
dirigente | leader, director, manager
célula | cell (biology)
católico | Catholic
voto | vote
lector | reader, lecturer
diente | tooth, cog
debajo | underneath, below
papa | Pope (m), potato (f)
requerir | to require
universitario | university
lunes | Monday
triste | sad, unhappy
belleza | beauty
explicación | explanation
filosofía | philosophy
desnudo | nude, naked
limitar | to limit
molestar | to bother, disturb, upset
clave | key
proporcionar | to supply
regla | rule, ruler, regulation
amarillo | yellow
líquido | liquid
cadena | chain
barco | boat, ship
dividir | to divide
marchar | to go, leave, march
generalmente | generally, usually
político | politician
diseño | design
confianza | confidence, trust
legal | legal
escenario | stage, setting, scene
general | general
específico | specific
extremo | edge, border, end
intento | attempt, try
leche | milk
crítica | criticism, critique
avión | plane, airplane, aircraft
transporte | transportation, transport
