plegar | to fold
plegarse | to yield
por encargo | to order; tailor-made
desahucio | eviction
la inflación subyacente | core inflation
quemarropa | point blank
contornos | outlines
mordisco | nibble
aniquilar | annihilate
agotar | exhaust
apenas | barely; hardly
un conjunto de cifras | a set of figures
corbata a juego | matching tie
contrincante | opponent
Brasilia ha amanecido gris | Brasilia has dawned gray
apunta a que | points out that
La célebre boina roja de Chávez | Chávez's famous red beret
Con el aval de Washington | With the endorsement of Washington
han acudido al llamamiento | they have responded to the call
las carambolas | the caroms
de rebote | indirectly
brindar | toast
el recelo | the suspicion 
idóneo | ideal
rendición de cuentas | accountability
rebotar | to bounce


