brillante | brilliant, shiny, sparkling
vacío | emptiness, void
bolsillo | pocket
negativo | negative, pessimistic
repente | de + r.: suddenly
identidad | identity
alrededor | surrounding area, vicinity
plato | plate, dish
municipal | municipal, town
caliente | hot, warm, spirited
curioso | curious, strange
gasto | expense, expenditure
invierno | winter
pantalón | pants, trousers
variedad | variety
miércoles | Wednesday
impulsar | to push, promote, drive
cansado | tired, tiresome
figurar | to appear, represent, figure (in)
consumir | to consume, take in
instalación | installation, facilities
cuidado | care, carefulness
reina | queen
experto | expert
asomar | to appear, show, stick (out)
apreciar | to appreciate
riqueza | riches, wealth
votar | to vote
rincón | corner, nook
curiosidad | curiosity, quaintness
partida | game, match, departure
naturalmente | naturally
mental | mental
agencia | agency, branch
actuación | performance, acting
tasa | rate, fee, levy
manifestación | protest, manifestation
busca | search, hunt
rodilla | knee
convenir | to be agreeable, be convenient
interpretación | interpretation, interpreting
diputado | deputy, member
lentamente | slowly
empresario | manager, entrepreneur
ruta | route
empujar | to push, shove
destinar | to assign, appoint
pintor | painter
criticar | to criticize
archivo | archive, file, filing cabinet
