# Spanish | English
la recta final | home stretch
endulzar | to sweeten
esparcir | to scatter
regar | to water
desdibujado | blurred
desguace | scrapping, junkyard
rara avis | rare bird (expression, like rare find)
la avena | oatmeal
añorar | to long for
el grado | degree
acogedor | cozy, friendly
cautelar | precautionary 
humeante | smoking
encauzar | channel 
libertinaje | debauchery
remoción | removal
yacimientos | deposits
imprevisibles | unpredictable
regidor | councilman
cuentagotas | dropper
A cuentagotas | slowly
la estampilla | stamp
el aguinaldo | Christmas bonus
navideño | Christmas
el chupete | pacifier
mordida | bite, bribe
travieso | naughty
el afiche | poster
rubro del turismo | tourism sector
resbalarse | to slip
socovar | to dig under, undermine
despacio | slowly
crédulo | gullible
alumbrar | to light, give off light
apoderarse | to seize
calentar | to heat
pretender | to intend
abrigarse | to bundle up
arropar | to tuck in
el edredón | comforter
