caer | to fall
voz | voice
terminar | to finish, end
oír | to hear
cambiar | to change
ninguno | no, none, nobody (PRON)
considerar | to consider
político | political
tierra | earth, land, ground
realidad | reality, actuality
convertir | to convert, change, become
español | Spanish
igual | equal, same (as)
todavía | still, yet
cabeza | head (part of body)
derecho | right, justice, law
mantener | to keep, maintain
utilizar | to use, utilize
calle | street
través | a t. de: through, across
estado | state, condition, status
relación | relationship, relation
sacar | to take out
puerta | door
gracias | thanks, thank you
necesitar | to need
resultar | to result, turn out
luz | light
paso | step, pace
general | general
escuchar | to listen to
guerra | war, warfare
amor | love
cinco | five
situación | situation
conseguir | to get, acquire, obtain
lograr | to achieve, get, manage
mes | month
quién | who?, whom?
fuerza | strength, force, power
ocurrir | to happen, occur
aparecer | to appear
diferente | different, separate
muerte | death
ganar | to win, earn
estudio | study, learning
nivel | level
proceso | process, procedure
fuera | out, outside, away
largo | long
