cómo | how?
trabajo | work, job, effort
caso | case, occasion
mayor | larger, older, main
además | also, as well, besides
acercar | to come near
esperar | to wait, hope (for), expect
nunca | never, ever
cierto | certain, sure, true
hora | hour, time (specific)
dónde | where?
padre | father
gustar | to be pleasing to
noche | night, evening
nosotros | we (subj)
casi | almost, nearly
hoy | today, nowadays
tipo | type, kind
ojo | eye
manera | way, manner
importante | important
contar | to tell, count
niño | child, little boy
trabajar | to work
empezar | to begin, start
verdad | truth
contra | against, opposite
ciudad | city
buscar | to look for
ahí | there
solo | lonely, alone
fin | end; a f. de: in order to
propio | own, proper, typical
tú | you (subj-sg/+fam)
gobierno | government
historia | history, story
ejemplo | example
último | last, final
punto | point, dot, period
antes | before
mil | thousand
palabra | word
obra | work, book, deed
existir | to exist
perder | to lose, miss
cuenta | bill, account
allí | there, over there
escribir | to write
cualquiera | any, anyone
grupo | group
