jaqueca | migraine
muy de la mano | Very hand in hand
hubiese sido | it would have been
Please call back in 15 minutes. | Por favor, vuelva a llamar en 15 minutos.
Esto da risa. | This is laughable.
ponen en entredicho | They call into question
desleal competencia | Unfair competition
Go to the right | Ve a la derecha
se ve bien | looks good
pendeja | Stupid
diarrhea | Diarrea
I'll see what can be done. | Veré qué se puede hacer.
ambientadores | Air fresheners
más mejora la tuya | More improves yours
Correas | straps
bulto | package
bultos | Lumps
Cartera | Purse
Olvídate del mundo | Forget the world
I don't understand. Can you repeat that? | No entiendo. ¿Puede repetir eso?
me doy cuenta | I realize
Me la puso | Put it on
Old man | Anciano
Cajones | Drawers
Atendemos casos | We serve cases
a camp. volunteers. | Un campamento Voluntarios.
a menudo | often
tanquero | Tanker
embestida | assault
se le aguaron los ojos | His eyes watered
Are you involved with something with the embassy | ¿Estás involucrado en algo con la embajada?
reward | recompensa
single room | habitación individual
No te metas | Do not mess
rentabilidad | cost effectiveness
se atreve | Dares
mano de obra | workforce
refiriéndose | Referring
fecha anterior | previous date
Ironing board cover | Cubierta de la tabla que plancha
Diabolic | Diabólico
I had to pry it from her jaws | Tuve que sacarla de sus mandíbulas
She took off walking as fast as she could | Ella se fue caminando tan rápido como pudo
She bit it | Ella lo mordió
Agarrar | Grab
She got hold of it | Ella lo agarró
