bien | goods, property, benefit
sexual | sexual
diverso | different, various, several
arrastrar | to drag, pull
acostumbrar | to be accustomed to
conmigo | with me
informe | report
congreso | congress
viernes | Friday
cercano | near
disco | disc, disk, record
hambre | hunger, starvation
eliminar | to eliminate, exclude
declaración | declaration, statement
web | Internet, web
victoria | victory, triumph
propuesta | proposal, proposition
bastar | to be sufficient
soñar | to dream
implicar | to implicate, imply
silla | chair, seat
describir | to describe
marcha | march, progress
impresión | impression, printing
comunicar | to communicate
marca | mark, brand, trademark
ritmo | rhythm
activo | active
robar | to rob, steal
canal | channel, canal
corriente | current, flow
poesía | poetry, poem
destruir | to destroy, ruin
reciente | recent
fundar | to found, base
doble | double
tendencia | tendency, style
vehículo | vehicle, car
temer | to fear
aparte | apart, aside, separately
actualidad | present (time)
solicitar | to solicit, request
reacción | reaction
contribuir | to contribute
sorpresa | surprise
envolver | to wrap
pérdida | loss
cuello | neck, collar
compromiso | compromise, engagement
ángel | angel
