vestir | to wear, dress
físico | physical
cubano | Cuban
enviar | to send
modelo | model, pattern
parar | to stop (moving)
rey | king
éxito | success
constituir | to constitute, consist of
cuanto | en c. a: in terms of, regarding
generar | to generate
naturaleza | nature, character
preferir | to prefer
cultural | cultural
conjunto | group, set
dedo | finger, toe, digit
cantar | to sing
futuro | future
proponer | to propose
título | title, heading
europeo | European
adelante | forward, further
suerte | luck, fortune
pensamiento | thought, thinking
ventana | window
jefe | leader, boss, manager
chico | boy
banco | (financial) bank, bench
ambiente | environment, atmosphere
lanzar | to throw, launch
simplemente | simply, just
permanecer | to stay, remain
romper | to break
local | local
novela | novel
extraño | strange, foreign
privado | private
ciencia | science, knowledge
flor | flower
estructura | structure
duro | hard
común | common
pena | trouble; valer la p.: be of worth
red | network, net, system
pieza | piece, part
golpe | hit, strike, punch
economía | economy, economics, thriftiness
árbol | tree
literatura | literature
defender | to defend, protect
