ofrecer | to offer, present
poder | power
sociedad | society
levantar | to raise, lift
dios | god, divinity
jugar | to play (sport/game)
época | time, age, period
color | color
zona | area, zone
malo | bad
comprar | to buy
necesario | necessary
camino | road, route, path
dinero | money
pie | foot, base
final | al f.: finally, in the end
tampoco | neither, nor, either
decidir | to decide
desarrollo | development
movimiento | movement
alcanzar | to reach, catch up with
blanco | white
equipo | team, equipment, outfit
difícil | difficult, hard
desarrollar | to develop
pronto | soon, quick
pagar | to pay
principal | main, principal
proyecto | project, plan
valor | value, worth
meter | to put (into)
realmente | really, actually, in fact
sol | sun
imagen | image, picture
cumplir | to fulfill
varios | several, various
universidad | university, college
interés | interest
mayoría | majority
dirigir | to direct, manage
ello | it (subj-n)
tarde | afternoon, evening
papel | paper, role, part
producto | product
medio | half, middle
continuar | to continue
modo | way, manner; de m. que: so that
rico | rich, tasty
ojalá | hopefully
reconocer | to recognize, admit
