llevar | to take, carry
encontrar | to find
bueno | good
tan | such, as, too, so
pensar | to think
casa | house
cada | each, every
persona | person
país | country
algo | something, somewhat
esto | this (n)
volver | to return, to V again
usted | you (subj/-fam)
salir | to leave, go out
después | after
mejor | best, better (ADV)
menos | less, fewer
venir | to come
forma | form, shape, way
mujer | woman, wife
momento | moment, time
llamar | to call, name
mundo | world
claro | clear
mirar | to look, watch
medios | means, resources
mientras | while, whereas, as long as
conocer | to know (someone or place)
aquel | that (over there)
aquí | here
aunque | although, even though
quien | who, whom
tomar | to take, drink
tres | three
mano | hand
sentir | to feel, regret
gente | people
cuándo | when?
durante | during
hijo | son, [pl] children
tratar | to try, treat, deal with
vivir | to live
sino | but, except, rather
lugar | place, position
problema | problem
hacia | toward, towards
presidente | president
cual | which, who, whom
junto | together
luego | later, afterwards
