el, la | the (+m, f)
de | of, from
que | that, which
y | and
en | in, on
un | a, an
ser | to be (norm)
a | to, at
él | he, [ellos] them (m)
lo | the (+neut)
no | no
su | his/her/their/your (-fam)
haber | to have (+Ved)
con | with
por | by, for, through
para | for, to, in order to
mí | me (obj prep)
lo | [3rd person] (dir obj-m)
tener | to have
como | like, as
estar | to be (location, change from norm)
me | me (obj)
más | more
este | this (m) [esta (f)]
le | [3rd person] (indir obj)
hacer | to do, make
se | [“reflexive” marker]
yo | I (subj)
o | or
pero | but, yet, except
decir | to tell, say
poder | to be able to, can
ir | to go
ese | that (m) [esa (f)]
otro | other, another
si | if, whether
mi | my
ver | to see
ya | already, still
porque | because
mucho | much, many, a lot (ADV)
dar | to give
muy | very, really
saber | to know (a fact), find out
sí | yes
año | year
ti | you (obj prep-sg/+fam)
te | you (obj/+fam)
también | also
qué | what?, which?, how (+ADJ)!
