semana | week
partido | party, group, (sports) match
acabar | a. de V: to have just Ved; finish
explicar | to explain
cuyo | whose
razón | reason; tener r.: to be right
negro | black
bastante | rather, fairly, quite a bit (ADV)
efecto | effect
servicio | service, helpfulness
formar | to form
económico | economic
servir | to serve
allá | there, over there
empresa | firm, company, venture
centro | center, middle, downtown
usar | to use
tras | after, behind
cambio | change; en c.: instead
clase | kind, class, order
distinto | distinct, different
animal | animal
hecho | fact, happening
número | number
dicho | aforementioned, said
información | information
tocar | to touch, play (instrument)
ayudar | to help
público | public
mostrar | to show
mas | but, however
estudiar | to study
hermano | brother, [pl] siblings
ley | law, bill, rule
sentido | sense, feeling
incluso | including, even (ADV)
cara | face, expression
principio | beginning, principle
programa | program, plan
música | music
traer | to bring, carry
campo | field, country
correr | to run
actividad | activity, action
quizás | perhaps, maybe
alguien | somebody, someone, anyone
comer | to eat
acuerdo | accord; de a.: in agreement
demás | the rest, others
siguiente | following, next
