voluntad | will, willpower, intention
definir | to define
organizar | to organize
poeta | poet
corto | short, brief
firmar | to sign
versión | version, account
pleno | complete, full
similar | similar
labio | lip
tradición | tradition
cliente | client, customer
luchar | to fight, wrestle
abril | April
análisis | analysis
enemigo | enemy
científico | scientific
grito | cry, shout, scream
habitación | room, bedroom, habitat
olor | smell, odor, fragrance
estadounidense | U.S., American
oficina | office
tranquilo | calm, tranquil, relaxed
caja | bank, box, safe
prestar | to lend
insistir | to insist on
puerto | port, harbor
clásico | classic
superar | to overcome, surpass
identificar | to identify
juicio | judgment
exactamente | exactly
esposa | wife
sencillo | simple, plain, easy
beber | to drink
revolución | revolution
rosa | rose
comercio | commerce, trade
escena | scene, stage, setting
premio | prize, reward
cuarenta | forty
enfermo | ill, sick
superficie | surface, area
aquello | that over there (n)
provincia | province, region
absoluto | absolute
terreno | ground, earth, terrain
respeto | respect, regard
técnico | technical
violencia | violence
