compañero | companion, classmate
suelo | ground, floor
referir | to refer (to)
paz | peace
sangre | blood
observar | to observe
precio | price, cost, value
verdadero | true, real
soler | to be accustomed to
crecer | to grow, increase
elegir | to choose, elect
francés | French
demostrar | to show, demonstrate
oportunidad | opportunity, chance
conocimiento | knowledge
producción | production
objeto | object, thing
mirada | gaze, look
autoridad | authority
preparar | to prepare
valer | to be worth, cost
mundial | worldwide
regresar | to return (to a place)
significar | to mean
interesar | to interest
matar | to kill
área | area, zone
opinión | opinion, view
compartir | to share
cuánto | how much?
capital | capital; city (f), money (m)
cabo | end, bit; llevar a c.: to carry out
inglés | English
fácil | easy
partir | to divide, leave; a p. de: starting
lengua | language, tongue, strip (of land)
curso | course, direction
mandar | to send, order
término | term (language), end
decisión | decision
dolor | pain, ache, sorrow
director | director, manager, principal
participar | to participate
causa | cause
personaje | character (e.g. movie)
rostro | face, countenance
ocasión | opportunity, occasion
página | page
atrás | back, behind, ago
llenar | to fill
