ventaja | advantage, benefit
artístico | artistic
someter | to subject
estación | station, season
representante | representative
moda | fashion, form
entidad | entity
temor | fear
cometer | to commit
competencia | competition, contest
eléctrico | electric
distinguir | to distinguish
afuera | outside
aumento | increase, rise
federal | federal
girar | to rotate, revolve
griego | Greek
imposible | impossible
febrero | February
regalar | to give (as a gift)
interpretar | to interpret
diario | daily
batalla | battle
consumo | consumption
protección | protection
vencer | to overcome, conquer
devolver | to return, give back
agradecer | to thank for
occidental | occidental, Western
poema | poem
encender | to turn on
contrato | contract, agreement
lágrima | tear, teardrop
noviembre | November
carga | load, charge, cargo
educativo | educational
arrancar | to start (machine), uproot
doña | courtesy title (f), Mrs.
inicio | beginning, start
citar | to cite, quote
oposición | opposition
marco | frame, mark, setting
médico | medical
bosque | forest
nombrar | to name, appoint
montar | to ride, mount, assemble
empleo | work, job, occupation
emoción | emotion, excitement
edición | edition, publication
sumar | to add up, amount to
