su parsimonia proverbial | His proverbial parsimony
por lo tanto | Thus
un chaleco antibalas | A bulletproof vest
Ya terminado. | Already done.
it's all over | se acabo
owners | Propietarios
así puedes ser alguien en la vida | That way you can be someone in life
Going down | Bajando
Going up | Subiendo
abordajes novedosas | New approaches
recuperación y resarcimiento | Recovery and redress
rendición de cuentas | accountability
reputation for being dangerous | Reputación de ser peligroso
reputation | reputación
I'm still sick. | Todavía estoy enfermo.
fungiendo como prestamistas | Serving as lenders
documentos judiciales del pleito | Court litigation documents
apátridas | Stateless
burda | Gross
Se trata de | Is about
de mala gana | reluctantly
al timón | At the helm
desgastado | worn out
el chiste es tener fe | The joke is to have faith
no te hagas el tonto | do not play the fool
queremos tratar de dos temas | We want to deal with two issues
in expectativa | In expectation
va a tardar | it's gonna take long
mas que yo | more than me
trama | plot
yugo a cuestas | Yoke on the back
contundente | overwhelming
la barba en remojo | The beard to soak
se acabó el relajo | The rest is over
abordaje | approach
al cabo de | after
al cabo de realizar | After performing
polizón | stowaway
mendicidad | begging
es pasible del delito la trata de mendicidad | Is the offense of begging
abordar | approach
afiche | poster
sobre la trata de mujeres dominicanas hacia el extranjero | On the trafficking of Dominican women abroad
decomiso de bienes | Confiscation of goods
los ejes | axes
connacional | Compatriot
