grave | serious, solemn
viajar | to travel
cámara | camera, chamber
vía | road, way; por v.: by means
ejército | army
comida | food, meal
caballo | horse
feliz | happy, fortunate
mayo | May
plata | silver, money
visita | visit, visitor, guest
rodear | to surround
adquirir | to acquire, get
consejo | advice, council, counsel
responsabilidad | responsibility
hoja | sheet, leaf
encuentro | meeting, game, skirmish
arma | weapon
alejar | to move away
revista | magazine, journal
pertenecer | to belong
debido | d. a: due to
agregar | to add, gather
trabajador | worker, laborer
generación | generation
ciudadano | citizen
propiedad | property
gesto | gesture
blog | blog
departamento | department, apartment
agosto | August
pasado | past, last
radio | radio; set (m), communication (f)
emplear | to employ
máximo | maximum
sorprender | to surprise
detalle | detail
puro | pure, clean
disfrutar | to enjoy
barrio | neighborhood, district
sentimiento | feeling, sentiment
espalda | back (body)
fe | faith
distancia | distance
calor | heat, warmth
conciencia | conscience, consciousness
reunión | meeting, reunion
finalmente | finally, at last
sonar | to sound, ring
defensa | defense, plea
