señor | sir, Mr, lord
pequeño | little, small, young
embargo | nevertheless
agua | water
realizar | to fulfill, carry out
nadie | nobody, anybody
entrar | to enter
arte | art, skill
leer | to read
amigo | friend
recordar | to remember, remind
morir | to die
único | only, unique, sole
lado | side
nombre | name, noun
recibir | to receive
pedir | to ask for, request
permitir | to allow, permit
preguntar | to ask (a question)
social | social
sistema | system
tal | such (a)
segundo | second
ante | before, in the presence of
viejo | old, aged
madre | mother
siglo | century, age
nacional | national
entender | to understand
libro | book
alto | tall, high
cuerpo | body
familia | family
comenzar | to begin, start
presentar | to introduce, present
bajo | under, underneath
según | according to
frente | front
crear | to create
tema | theme, subject, topic
cuatro | four
ah | oh
humano | human
pueblo | people, village
producir | to produce, cause
abrir | to open
idea | idea
millón | million, fortune
sentar | to sit (down), seat
aún | still, yet
