tambalear | stagger
vertir | pour
Lo cierto es que nunca se repuso usted | The truth is that you never recovered.
cruenta | bloody
trozo | piece
trapos | rags
trapero | ragpicker
hincapié | emphasis
escoria | human waste
I'm not listening to everything | No estoy escuchando todo
matizar | qualify
complacido | pleased
retroceder | back
retrocedemos | we go back
se deslumbra | it dazzles
timador | swindler
abarcar | encompass
resarcir | compensate
resarcimiento | restitution
ternera | veal
hígado de ternera | veal liver
decomiso | confiscation
apartado | pulled apart
una denuncia digna de lástima. | a complaint worthy of pity.
cortar las alas | cut the wings
gemir | moan
gemido | groan
caldera | boiler
acaudalado | wealthy
desempeñar | play
coger | take
cántaro | pitcher
desbocar | break out
tentar | try
tentado | tempted
tenebroso | dark
queda comprobado | it's proven
se reanuda | resumes
She left it in the United States. You should have it in your files. | Ella lo dejó en los Estados Unidos. Deberías tenerlo en tus archivos.
desde hace varios días | since a few days ago
blood clots | coágulos de sangre
I was sick | estaba enfermo
My Spanish isn't the best | Mi español no es el mejor
Am I mistaken? | ¿Estoy equivocado?
My insurance will pay if it's a medical condition | Mi seguro pagará si es una condición médica
vein stripping | extracción de venas
