portable toilet | Baño portátil
wallet | billetera
yo acabo de firmé | I just signed
me disculpo | I apologize
inner circle | círculo interno
políticas de géneros | Gender policies
Pour | Verter
I poured coffee from the coffee pot into the cup. | Vertió el café de la cafetera en la taza.
I poured a cup of coffee. | Me serví una taza de café.
coffee pot | cafetera
No hablen tanto y hagan algo. | Do not talk so much and do something.
que se adueñan | That take over
pesquisa | Research
pisar | step
yo te bendiga | I bless you
el vacío | the vacuum
vacío | empty
sabra | will know
To follow | Seguir
I followed him | Lo seguí
a fin de | for the purpose of
natación | swimming
retirada | withdrawal
peluca | wig
escritura | writing
reposar | rest
Have you been to the embassy before? | ¿Has estado en la embajada antes?
como sigues | How are you
me lo pone para llevar | Put it on my back
espaldarazo | accolade
Talk slow so I can understand you. | Habla despacio para poder entenderte.
Hundirse | Sink
Estaré atenta | I will be attentive
I will contact you soon about that. | En breve me pondré en contacto contigo.
estimado | Dear
actualizar | to update
desmentir | deny
desmentido | denial
hazaña | feat
imprescindible | essential
castrense | Military
casa de acogida | shelter
Three prosecutors have left. | Tres fiscales se han ido.
Proxenetismo | Procuring
sacred cows | vacas sagradas
