coger | to hold, take, catch
suyo | his, hers, yours (−fam), theirs
tratamiento | treatment, processing
conservar | to conserve, preserve
raro | strange, rare, scarce
puesto | job, place, position
retirar | to take away, retire
exterior | exterior, outside
ay | oh no!, oh my!
acá | here, around here
campaña | campaign
vuelta | return, turn
particular | particular, peculiar
operación | operation
usuario | user
industria | industry, factory
cuadro | painting, picture
alimento | food, nourishment
jugador | player, gambler
frío | cold
crecimiento | growth, increase
aplicación | application
organismo | organism, (human) body
conflicto | conflict
optimista | optimistic
periódico | newspaper, periodical
atender | to serve, attend to
añadir | to add
directo | direct, straight
impedir | to prevent, hinder
cristiano | Christian
argentino | Argentine
determinar | to determine, decide
ruido | noise
junio | June
frase | phrase
actualmente | now, at present
sensación | sensation, feeling
venta | sale
sonido | sound
característica | characteristic, aspect
cerca | close, near
instrumento | instrument
bello | beautiful, fine
visión | vision
sonrisa | smile
factor | factor, cause, influence
tecnología | technology
convencer | to convince, persuade
hospital | hospital
