risa | laugh, chuckle
mencionar | to mention, cite
muerto | dead
numeroso | numerous
muchacha | girl
etapa | stage, period
proteger | to protect
contemplar | to contemplate
moral | moral
interno | internal
mínimo | minimum
instalar | to install
presente | present
museo | museum
perfecto | perfect
ataque | attack, raid
máquina | machine
durar | to last
paciente | patient
lenguaje | language, speech
habitante | inhabitant
original | original
consistir | to consist of
labor | labor, work, task
presión | pressure
analizar | to analyze
tono | tone
recuperar | to recuperate, recover
chica | girl, female
esconder | to hide, conceal
prácticamente | practically
introducir | to introduce, bring in
individuo | individual, person
entero | entire, whole, complete
pegar | to hit, stick (on)
cobrar | to charge (money)
circunstancia | circumstance
doce | twelve
verano | summer
encima | above, on top, in addition
nota | note, grade
velocidad | speed, velocity
salida | exit, escape, outcome
manifestar | to express, show
italiano | Italian
hombro | shoulder
administración | administration
transformar | to transform, change
recursos | resources
septiembre | September
