aire | air, wind, appearance
mañana | morning, tomorrow
dormir | to sleep
acción | action, act, deed
pesar | a p. de: in spite of
establecer | to establish
seguro | safe, sure, secure
vista | view, sight
juego | game, play, sport
subir | to go up
intentar | to try, attempt
personal | personal
fondo | bottom, end
descubrir | to discover
olvidar | to forget
experiencia | experience
incluir | to include
condición | condition
edad | age
andar | to walk, function
orden | order; sequence (m), religious (f)
mal | badly
joven | teenager, young person
escuela | school
uno | one
nacer | to be born
posible | possible
aprender | to learn
serie | series
dedicar | to dedicate, devote
necesidad | necessity, need
suponer | to suppose, assume
aceptar | to accept
comprender | to understand
fuerte | strong
especial | special
iglesia | church
seis | six
obtener | to obtain
ciento | hundred
falta | lack, shortage
política | politics, policy
especie | kind, sort, species
real | royal, real, authentic
cuál | which?
antiguo | old, ancient, former
gracia | (pl) thank you; grace, favor
santo | saint (m)
diez | ten
tercero | third
