espacio | space, room
bajo | short, low
publicar | to publish
población | population
aspecto | aspect, appearance
muchacho | boy
tarde | late
artículo | article, product, item
cantidad | quantity, amount
sueño | dream, sleep
posibilidad | possibility
echar | to throw, cast
internacional | international
responder | to answer, respond
boca | mouth, entrance, opening
próximo | next
mover | to move, incite
menor | younger, youngest
cultura | culture
brazo | arm
uso | use
todo | all, every
libre | free, vacant
ser | being
corazón | heart, core
línea | line, course
sitio | place, space
minuto | minute
señalar | to point (out), signal
mar | sea
carrera | career, course, race
base | base, basis
suceder | to happen
bajar | to come down, let down
éste | this one (m), [ésta (f)]
apenas | hardly, barely
mercado | market
respuesta | answer, reply
atención | attention
educación | education
miedo | fear
pobre | poor
anterior | previous, preceding
demasiado | too much
evitar | to avoid, prevent
río | river
comentario | remark, comment
asegurar | to assure, secure, insure
actual | current
imaginar | to imagine
