primo | cousin
obligación | obligation
acudir | to attend, go to, frequent
gestión | management, step, negotiation
atrever | to dare
concierto | concert, concerto
asociación | association
constitución | constitution
imperio | empire, fortune
estrategia | strategy
prometer | to promise
preciso | precise, necessary
sexo | sex
montaña | mountain
elevar | to elevate, raise
diálogo | dialogue, conversation
correcto | correct, suitable
volar | to fly
inmediatamente | immediately
categoría | category
fútbol | soccer
romano | Roman
soldado | soldier
medicina | medicine
playa | beach, seaside
reino | kingdom, reign
zapato | shoe
muestra | proof, sample, sign
intenso | intense, acute
absolutamente | absolutely, completely
total | (sum) total
campesino | peasant, farmer
admitir | to admit
democracia | democracy
misión | mission, task
exacto | exact, faithful, true
complejo | complex, complicated
tren | train, convoy
deporte | sport
secreto | secret
criterio | criterion
discurso | lecture, discourse, talk
agente | agent
fresco | cool, healthy, fresh
soledad | loneliness, solitude
planeta | planet
búsqueda | search
pasión | passion, desire
nube | cloud
dudar | to (have) doubt
