definitivo | definitive, conclusive
intervenir | to intervene
humanidad | humanity, mankind
perseguir | to persecute, pursue, chase
coincidir | to coincide, agree
nuevamente | anew, again
rama | branch, bough, limb
instituto | institute
herramienta | tool
grabar | to record, engrave
perfectamente | perfectly
avance | advance, progress
entrevista | interview, meeting
tardar | to delay, take long
vamos | come on
apartar | to move away, separate
mezclar | to mix
volumen | volume
lento | slow
nariz | nose
investigar | to investigate
peligroso | dangerous
derecha | right, right hand
adulto | adult, grown-up
saludar | to greet, say hello
techo | roof
moneda | coins, currency
temprano | early
percibir | to perceive, notice
beso | kiss
bolsa | bag, purse, stock exchange
fijo | fixed, steady
aun | even (though), still
lejano | distant
vacío | empty, vacant
quinto | fifth
ingresar | to join, deposit, admit
sesenta | sixty
relato | tale, story
ése | that one (m), [ésa (f)]
besar | to kiss
publicación | publication
cerebro | brain
conferencia | conference, lecture
practicar | to practice
ingreso | entrance, admission, income
comparar | to compare
evolución | evolution, development
falso | false
droga | drug
