alguno | some, a few
nos | us (obj)
tu | your (+fam)
sin | without
mismo | same
eso | that (n)
cuando | when
querer | to want, love
vez | time (specific occurrence); en v. de: instead of
hasta | until, up to, even (ADV)
la | [3rd person] (dir obj-f)
sobre | on top of, over, about
entre | between, among
dos | two
día | day
grande | large, great, big
así | like that
pasar | to pass, spend (time)
cosa | thing
desde | from, since
deber | should, ought to; to owe
ella | she, [ellas] them (f)
pues | then, well then
entonces | so, then
llegar | to arrive
poco | little, few, a little bit (adv)
nuestro | our
bien | well
ni | not even, neither, nor
tiempo | time (general)
ahora | now
primero | first
creer | to believe, think
donde | where
vida | life
dejar | to let, leave
nada | nothing, (not) at all
tanto | so much, so many
parecer | to seem, look like
hablar | to speak, talk
poner | to put (on), get (+ADJ)
parte | part, portion
eh | eh
nuevo | new
sólo | only, just
siempre | always, forever
hombre | man, mankind, husband
bueno | well . . .
seguir | to follow, keep on
quedar | to remain, stay
