justicia | justice, fairness
cine | cinema, movie theater
existencia | existence, life
grado | degree, grade
ganas | desire
plantear | to propose, present
madera | wood
menudo | a m.: often
probar | to test, prove, try
destino | destination, destiny
café | coffee, cafe
contenido | contents, content
cincuenta | fifty
pintura | painting, paint
marido | husband
diario | newspaper
recorrer | to travel, cover (distance)
hallar | to find (out)
poseer | to possess, own
altura | height, altitude
pecho | chest, breast
costumbre | habit, custom, usage
recién | recently, just
estrella | star
mente | mind
declarar | to declare, testify
letra | letter, handwriting, lyrics
sonreír | to smile
creación | creation
hermoso | beautiful, lovely
advertir | to notice, warn
canción | song
método | method
república | republic
reforma | reform, improvement
lluvia | rain
esperanza | hope
tío | uncle, guy
conversación | conversation
influencia | influence
nueve | nine
instante | instant, moment
marcar | to mark, note, dial
controlar | to control
tarea | task, job
documento | document
famoso | famous, well known
conducir | to lead, drive
prensa | press
normal | normal, usual, regular
