prueba | proof, trial, test
mediante | by means of
cuarto | room, chamber
abierto | open, unlocked
desaparecer | to disappear, vanish
contrario | contrary, opposite
objetivo | objective
obligar | to obligate, force
julio | July
importancia | importance
sur | south
asunto | matter, issue, affair
medida | measure; a m. que: to the extent
energía | energy, power
impuestos | taxes
apoyar | to support, lean on
posición | position
quitar | to remove, take away
contestar | to answer, reply
piel | skin, hide, fur
provocar | to cause, provoke
alma | soul
acto | act, action
década | decade
mamá | mom
mío | mine
dólar | dollar
origen | origin, cause
depender | to depend on
abandonar | to abandon, leave (a place)
fijar | to set, fix, [se] notice
profesional | professional
reír | to laugh (at)
lleno | full, filled
tirar | to throw, pull
período | period, time
guardar | to keep, save
negocio | business, transaction
material | material, element
arriba | up, above
gritar | to shout
médico | doctor
domingo | Sunday
peor | worse, worst
os | you (obj-pl/+fam)
notar | to notice
institución | institution
surgir | to appear, spring (forth)
expresar | to express
amar | to love
